id,name,category,description
4352cf79-2000-4b4c-a3be-724e8a896174,Python,technical,"High-level programming language for web, data, and AI."
e68c35f0-8416-427d-89b3-f9dade485651,Java,technical,Object-oriented enterprise programming language.
62fda3ec-9eef-430c-8a1e-fca3eb205e79,JavaScript,technical,Dynamic script language for client-side and server-side web.
a77d6c17-a31e-49fe-ac9f-7bf36800ccf0,TypeScript,technical,Typed superset of JavaScript.
7ba9dcab-e274-4837-b26b-8ddfbf2664a1,C++,technical,Performance-critical system programming language.
16c46e6c-223b-4521-8b6e-02686312ccaf,SQL,technical,Structured Query Language for database query and management.
a0dc6906-6dba-4293-8320-6bf9ef5af941,HTML,technical,Standard markup language for document structure.
d4783fea-e915-4f1a-9245-14a93e2d68b5,CSS,technical,Style sheet language for visual presentation.
2b58d681-8e55-478e-b141-3aff29cad0fd,React,technical,Frontend UI library for component-based applications.
3fdce963-18d3-4513-9215-fd41790bf688,Next.js,technical,React framework for server-side rendering and static sites.
582f5336-44d1-44f8-bcca-c9db9972324f,Node.js,technical,JavaScript runtime for building backend APIs.
f9659160-cac4-4e5b-9668-e1939d308c2a,Express.js,technical,Web app framework for Node.js.
899f6441-4496-4d57-8cd5-c588956f561b,FastAPI,technical,Modern high-performance Python web framework.
98ec08f3-dccf-473a-979a-5edf24ab4388,Spring Boot,technical,Java enterprise backend framework.
5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,REST API,technical,Architectural style for Web APIs.
e238b602-79c8-4c56-ab25-001821ec32d9,Microservices,technical,Distributed architecture pattern.
ac46e3ce-936e-43f1-a213-76616dcd4393,PostgreSQL,technical,Advanced open-source relational database.
3549b7ce-234c-4803-99fc-8e19c65e43c6,MongoDB,technical,Document-oriented NoSQL database.
aec0cf32-2dab-4b75-9af4-ef1da1b76836,Redis,technical,In-memory data structure store for caching.
ea31ee4d-610d-4982-a9f0-b402bafb05d8,Pandas,technical,Python data manipulation library.
828c8c3b-34ec-416b-897b-c284cbffbf99,NumPy,technical,Numerical computing library for Python.
d8619e4c-70e2-4d9d-acab-8a4ec2af3842,Power BI,domain,Business analytics tool for dynamic dashboards.
98f1008a-dbc3-4ead-9486-a5e85a66c961,Excel,domain,Spreadsheet calculations and data analysis.
df2c653a-8a63-42ba-b708-bfad266615da,Data Visualization,domain,Presenting complex data visually.
